mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__C,param_clf__estimator__gamma,param_clf__weight_power,param_features__char__lowercase,param_features__char__ngram_range,param_features__word__lowercase,param_features__word__ngram_range,param_reduce,split0_test_macro_f1,split1_test_macro_f1,split2_test_macro_f1,split3_test_macro_f1,split4_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,rank_test_macro_f1,split0_test_qwk,split1_test_qwk,split2_test_qwk,split3_test_qwk,split4_test_qwk,mean_test_qwk,std_test_qwk,rank_test_qwk
17.237557554244994,0.36780342297274965,2.9517444133758546,0.06156224445659853,1.3292918943162166,scale,1.0,True,"(1, 3)",True,"(1, 3)",SelectPercentile(percentile=5),0.5172198317795532,0.5440085488661884,0.5284765336259103,0.5293387178970703,0.520025142805302,0.5278137549948049,0.009358737359632007,5,0.44608837296145354,0.4694106117877642,0.44982418176900196,0.47072360010227565,0.42134387351778657,0.4514781280276564,0.018065549877860163,3
41.66155924797058,0.4781442716374521,0.6872427940368653,0.07028352685322754,0.2937538457632829,scale,1.0,False,"(1, 3)",False,"(1, 3)","TruncatedSVD(n_components=300, random_state=42)",0.45077941859171355,0.44259658747446684,0.46835105717787284,0.4894647195635446,0.43393202254342617,0.45702476107020484,0.019804479085382416,14,0.31738719142318117,0.3059272735977785,0.4087591240875913,0.359822172825785,0.3200918484500572,0.3423975220768786,0.03784341267547219,12
7.872757196426392,0.17503541232493497,1.646032190322876,0.15817669508867171,81.23245085588688,auto,0.5,False,"(2, 4)",False,"(1, 1)",SelectPercentile(percentile=1),0.28914808739849746,0.29369369369369375,0.2906271280876617,0.30193548387096775,0.2857587306525628,0.2922326247406767,0.005482398974354189,18,0.10270802298361348,0.10042356767247596,0.10455311973018555,0.1162029459901801,0.09540034071550263,0.10385759941839154,0.006892469154963743,18
12.676150846481324,0.2703799347191008,2.3817789554595947,0.04198614528309127,0.8179499475211672,auto,0.0,False,"(1, 3)",True,"(1, 3)",SelectPercentile(percentile=20),0.22494172494172493,0.22494172494172493,0.22533566841798014,0.22533566841798014,0.22533566841798014,0.22517809102747804,0.0001929921008646969,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
21.81645336151123,0.43776992174038626,3.993162965774536,0.09551789158740388,1.5833718339012062,auto,1.0,False,"(2, 4)",True,"(1, 2)",SelectPercentile(percentile=20),0.1435472739820566,0.11976911976911976,0.22533566841798014,0.22533566841798014,0.22533566841798014,0.18786467980102337,0.04650432822518327,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
37.10387482643127,0.8159640377329386,0.672644567489624,0.17323129587271183,1.4040609919104425,auto,0.0,True,"(1, 3)",True,"(1, 3)","TruncatedSVD(n_components=300, random_state=42)",0.22494172494172493,0.22494172494172493,0.22533566841798014,0.22533566841798014,0.22533566841798014,0.22517809102747804,0.0001929921008646969,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
8.939436292648315,0.21362377518017758,1.632432508468628,0.1922555752773994,2.24645516805326,auto,0.0,False,"(2, 4)",False,"(1, 2)",SelectPercentile(percentile=1),0.22494172494172493,0.22494172494172493,0.22533566841798014,0.22533566841798014,0.22533566841798014,0.22517809102747804,0.0001929921008646969,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
24.328750467300416,0.42140530078597127,3.8898187637329102,0.172374810170172,0.11166029133981344,auto,1.0,False,"(1, 5)",False,"(1, 1)",SelectPercentile(percentile=20),0.1435472739820566,0.14246196403872752,0.22533566841798014,0.22533566841798014,0.22533566841798014,0.1924032486549449,0.04033527236725245,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
11.786493730545043,0.17573993514650185,2.294083070755005,0.04730706348023491,53.45166110646818,auto,0.5,False,"(2, 4)",False,"(1, 2)",SelectPercentile(percentile=5),0.22494172494172493,0.22494172494172493,0.22533566841798014,0.22533566841798014,0.22533566841798014,0.22517809102747804,0.0001929921008646969,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
13.408007764816285,0.25682625201806325,2.5663936614990233,0.14455606401418739,5.047786565710604,scale,1.0,False,"(2, 4)",False,"(1, 2)",SelectPercentile(percentile=5),0.5524533779648256,0.5311777713238734,0.5184889703231498,0.5424000962927299,0.5159485698712829,0.5320937571551724,0.013909213587769784,4,0.45219547819736483,0.41283866424520965,0.4362668336987159,0.4394463667820069,0.3880782365724931,0.425765115899158,0.022730687536543833,7
27.057617950439454,1.9024852460921928,1.6546806812286377,0.33731620398982126,48.35952776465949,auto,1.0,False,"(1, 5)",False,"(1, 2)","TruncatedSVD(n_components=100, random_state=42)",0.5151650469896777,0.46627157096666005,0.5344666769285117,0.5191738597764423,0.4405797101449275,0.49513137296124377,0.03559614443370389,9,0.42762164320308294,0.35293974688466423,0.4427542033626902,0.41390987236259436,0.31576390575661895,0.3905978743139301,0.048275767807744556,9
40.50482969284057,0.6996656297889882,0.6758002758026123,0.1136656059249562,0.13667272915456222,auto,0.0,False,"(1, 3)",False,"(1, 3)","TruncatedSVD(n_components=300, random_state=42)",0.22494172494172493,0.22494172494172493,0.22533566841798014,0.22533566841798014,0.22533566841798014,0.22517809102747804,0.0001929921008646969,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
2.7437861442565916,0.19381114459245813,0.6030174732208252,0.0572850714378181,5.75775918750704,scale,0.0,True,"(1, 3)",True,"(1, 1)",SelectPercentile(percentile=1),0.55338392313312,0.518342151675485,0.5144459579474615,0.5151748258308481,0.5097431302270011,0.5222179977627832,0.015823844544679288,7,0.419902512539148,0.3932732085400453,0.4300960512273212,0.4128529698149952,0.38972387277175813,0.40916972297865356,0.015475855740760571,8
14.419647789001464,0.3457191744108938,2.3276124954223634,0.13010527194206262,0.11140616389973705,scale,0.0,False,"(1, 5)",True,"(1, 3)",SelectPercentile(percentile=1),0.22494172494172493,0.22494172494172493,0.22533566841798014,0.22533566841798014,0.22533566841798014,0.22517809102747804,0.0001929921008646969,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
13.867252922058105,0.24224944846776,2.5579063415527346,0.10277591515126695,13.615257464006506,scale,0.0,True,"(1, 3)",False,"(1, 3)",SelectPercentile(percentile=5),0.545870087465565,0.5474278201923294,0.5254385893895436,0.5464577310106303,0.5271595949790343,0.5384707646074205,0.00996544635335298,3,0.4752475247524752,0.4695010713598642,0.45401174168297453,0.475658419792498,0.429060279020795,0.46069580732172144,0.0176558676436948,2
104.21264491081237,8.363313051519325,3.194901132583618,1.0063473751790852,0.22264204303769677,scale,0.0,False,"(2, 4)",True,"(1, 3)","TruncatedSVD(n_components=300, random_state=42)",0.28914808739849746,0.29369369369369375,0.2914143286779549,0.30193548387096775,0.2857587306525628,0.2923900648587353,0.00544520972157274,16,0.10270802298361348,0.10042356767247596,0.10457885811192758,0.1162029459901801,0.09540034071550263,0.10386274709473994,0.00689299627689813,16
148.59947924613954,1.3567483464395749,1.3655770778656007,0.0954890501257278,15.446089075047073,auto,0.5,True,"(1, 5)",True,"(1, 3)","TruncatedSVD(n_components=300, random_state=42)",0.28914808739849746,0.29369369369369375,0.2914143286779549,0.30193548387096775,0.2857587306525628,0.2923900648587353,0.00544520972157274,16,0.10270802298361348,0.10042356767247596,0.10457885811192758,0.1162029459901801,0.09540034071550263,0.10386274709473994,0.00689299627689813,16
18.602686166763306,0.8200018751489138,3.309101867675781,0.3955657982411694,82.25007188121377,scale,0.0,True,"(2, 4)",True,"(1, 3)",SelectPercentile(percentile=20),0.4901938521394887,0.5080019590819029,0.47427596931807914,0.48867344832023435,0.47930817970516126,0.4880906817129732,0.011568928466325838,11,0.3397212543554007,0.39688931324117505,0.3621841417368574,0.3307346326836581,0.30250648228176324,0.34640716485977086,0.03167004862478412,11
9.893452358245849,0.39538115746832886,1.6999966144561767,0.13764020717999065,3.699972431463808,scale,0.5,False,"(1, 3)",True,"(1, 3)",SelectPercentile(percentile=1),0.5637935834284967,0.5628573131605271,0.5218874838554651,0.5493633350776208,0.5231048201345231,0.5442013071313265,0.018447324232946195,1,0.4467994526379808,0.46567118926703555,0.4359598418010343,0.46748844375963017,0.38300611522368855,0.4397850085378739,0.03074167115955363,5
22.215279626846314,0.17158325736192276,3.816304636001587,0.20900833990845263,0.8771380343280561,auto,0.5,True,"(1, 5)",True,"(1, 1)",SelectPercentile(percentile=20),0.22494172494172493,0.22494172494172493,0.22533566841798014,0.22533566841798014,0.22533566841798014,0.22517809102747804,0.0001929921008646969,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
16.25904574394226,0.20999200444812682,3.0139238834381104,0.0603474976237026,0.40661526076181104,scale,1.0,True,"(1, 5)",False,"(1, 2)",SelectPercentile(percentile=5),0.537295299311532,0.476916688521724,0.4822390127812026,0.501108305274972,0.4759280146376921,0.49469746410542453,0.02314880416706462,10,0.43706782495818663,0.35116426205510554,0.39243498817966904,0.39710733316417157,0.3120867495371594,0.3779722315788584,0.042725113392202835,10
