mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__C,param_clf__weight_power,param_features__char__lowercase,param_features__char__ngram_range,param_features__word__lowercase,param_features__word__ngram_range,param_reduce,split0_test_macro_f1,split1_test_macro_f1,split2_test_macro_f1,split3_test_macro_f1,split4_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,rank_test_macro_f1,split0_test_qwk,split1_test_qwk,split2_test_qwk,split3_test_qwk,split4_test_qwk,mean_test_qwk,std_test_qwk,rank_test_qwk
23.386074018478393,0.6430763537133751,1.804809808731079,0.09362481399276047,0.03148911647956861,0.0,True,"(1, 5)",False,"(1, 1)","TruncatedSVD(n_components=100, random_state=42)",0.3293150354476862,0.32693739184031484,0.31351542265128324,0.35048580578624544,0.33696365813154133,0.33144346277141423,0.012160040172351219,22,0.1650153961116766,0.1490837482910431,0.13545601726929313,0.18473282442748085,0.1822606814494322,0.16330973350978517,0.018969473904356313,22
4.211641025543213,0.26702538892954963,1.0700953960418702,0.08691692065184944,0.004207988669606638,1.0,True,"(1, 5)",True,"(1, 1)",SelectPercentile(percentile=20),0.49824502240863944,0.43871318248600827,0.5015213025341573,0.48418101170267325,0.4431853288209195,0.4731691695904795,0.02698202460289331,14,0.4220686522613718,0.31745767877427755,0.41501103752759394,0.39400428265524623,0.3109741644939559,0.37190316314248906,0.04804160334680353,15
25.607728958129883,0.2007410484525645,0.5305402755737305,0.07578089147206488,0.003727925903376985,1.0,False,"(1, 3)",False,"(1, 2)","TruncatedSVD(n_components=300, random_state=42)",0.47440838404327246,0.4282314072889342,0.4875958638334876,0.46194514705153006,0.4325875196354591,0.45695366437053664,0.023182767683122416,16,0.4000125392504663,0.29462009944383505,0.4061358655953251,0.3563867325335215,0.3064027939464493,0.35271160615391944,0.046095912101806136,17
3.7685505867004396,0.646184735924316,0.6496878147125245,0.06425424240888422,0.0010071984838809194,0.0,True,"(2, 4)",False,"(1, 1)",SelectPercentile(percentile=20),0.22494172494172493,0.22494172494172493,0.22533566841798014,0.22533566841798014,0.22533566841798014,0.22517809102747804,0.0001929921008646969,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
138.51693377494811,1.0448817992525263,1.5434342861175536,0.24143453672687812,0.0012366582530130832,1.0,True,"(1, 5)",False,"(1, 3)","TruncatedSVD(n_components=300, random_state=42)",0.45966732007745614,0.41433759610967025,0.4816815795143969,0.4748003405704555,0.4335702683340621,0.4528114209212082,0.02535531165767171,19,0.36007177299408777,0.2902621722846441,0.4115122443827316,0.3518474935278889,0.31257344300822565,0.34525342523951563,0.04182180154226898,19
4.784716653823852,0.6599014864365766,1.4353389263153076,0.3145931940344982,0.0023036990230378648,0.5,True,"(1, 5)",False,"(1, 1)",SelectPercentile(percentile=5),0.22494172494172493,0.22494172494172493,0.22533566841798014,0.22533566841798014,0.22533566841798014,0.22517809102747804,0.0001929921008646969,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
3.307908630371094,0.1850015972316155,0.7736234188079834,0.27208284055417065,2.752717392942941,1.0,True,"(1, 3)",True,"(1, 2)",SelectPercentile(percentile=20),0.5337934825875256,0.5535907685161416,0.49134225602187503,0.570679792116814,0.5124828979348753,0.5323778394354463,0.028279886097103267,6,0.4308702252492512,0.4794785604261357,0.39772335288030347,0.47301275760549555,0.4395387149917628,0.4441247222305898,0.029779901588766956,4
23.141399717330934,1.2375085745965775,0.8493165016174317,0.05954721355034369,5.872283616443723,0.5,False,"(2, 4)",True,"(1, 2)","TruncatedSVD(n_components=100, random_state=42)",0.5609807516554249,0.5029747018282366,0.5246779253307543,0.5398882516345047,0.5221245502763251,0.5301292361450491,0.01938151135502256,8,0.48938181547508286,0.3983075533805237,0.42682534577034414,0.41554792382141736,0.38914027149321273,0.42384058198811614,0.035296961284556325,9
5.6499076843261715,0.2918428876806683,1.4899489879608154,0.2942820380811897,0.008386394780402562,1.0,False,"(1, 5)",False,"(1, 1)",SelectPercentile(percentile=5),0.48165070264109433,0.4461194846440748,0.502540865646404,0.4992154742921435,0.4484905445431761,0.47560341435337855,0.02418319736014592,13,0.42568351818416306,0.32784393210032936,0.4357090374724467,0.37822749476622464,0.3232607167955024,0.3781449398637332,0.047150859804169845,14
80.29153218269349,3.3444513882371085,1.2818790912628173,0.20733236331268737,4.337920697490942,0.5,False,"(2, 4)",False,"(1, 2)","TruncatedSVD(n_components=300, random_state=42)",0.5784097379661888,0.5201607225075151,0.5324403454838237,0.5449772375347165,0.5273337226832547,0.5406643532350998,0.020538032656005758,2,0.5095136117830126,0.38940040094769457,0.4633165829145729,0.4471952366029458,0.4024514811031664,0.44237546267027844,0.04328873588548045,6
