mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__alpha,param_clf__estimator__hidden_layer_sizes,param_clf__estimator__learning_rate_init,param_clf__weight_power,param_features__char__lowercase,param_features__char__ngram_range,param_features__word__lowercase,param_features__word__ngram_range,param_reduce,split0_test_macro_f1,split1_test_macro_f1,split2_test_macro_f1,split3_test_macro_f1,split4_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,rank_test_macro_f1,split0_test_qwk,split1_test_qwk,split2_test_qwk,split3_test_qwk,split4_test_qwk,mean_test_qwk,std_test_qwk,rank_test_qwk
38.43564143180847,0.5065576414780171,1.111187744140625,0.04588062217489412,0.00031489116479568613,"(16,)",0.00023273922280628724,0.0,True,"(1, 5)",False,"(1, 3)","TruncatedSVD(n_components=100, random_state=42)",0.22183098591549297,0.25886619432998353,0.2817074050039657,0.23703483931936684,0.25501522837224433,0.25089093058821066,0.020330968540682216,30,-0.0024500932705959766,0.03938389549619803,0.05604113110539832,0.018856806128461967,0.047426257952573714,0.03185159948240721,0.021118284446775295,30
5.730355882644654,0.7795914522503404,0.5091081142425538,0.07530029946879489,1.7073967431528103e-05,"(64, 32)",0.0004649617447336333,1.0,False,"(1, 3)",False,"(1, 2)",SelectPercentile(percentile=5),0.5507335554964511,0.5192875585032448,0.5354723882959406,0.5458778796345473,0.49964819261037746,0.5302039149081124,0.01869606978519566,10,0.4624350522888786,0.39964984437527784,0.4657800843334414,0.45151606124287,0.358130956040578,0.4275023996562092,0.042072055647417735,12
3.2475804328918456,0.887852313749391,0.5473634243011475,0.09746302015193799,1.007198483880919e-05,"(64, 32)",0.00023270677083837802,0.5,False,"(1, 3)",False,"(1, 1)",SelectPercentile(percentile=1),0.28914808739849746,0.5482781863378879,0.35852668231394125,0.30193548387096775,0.39031171294933437,0.37764003057412576,0.09295727428977303,25,0.10270802298361348,0.4655725900813057,0.16114714919767847,0.1162029459901801,0.2817102137767221,0.22546818440589997,0.13561669264601275,24
22.36380801200867,0.3392415810154854,1.0611421108245849,0.17620236932897756,0.0012563152773938662,"(128,)",0.00019010245319870352,1.0,False,"(2, 4)",True,"(1, 2)","TruncatedSVD(n_components=100, random_state=42)",0.4200533793910495,0.40379824885929216,0.49440980824049713,0.49814533292794155,0.48850867334785947,0.4609830885533279,0.04050032789305613,21,0.3437872297615707,0.2849688420899448,0.34698795180722897,0.4100448007545391,0.3429976702045042,0.3457572989235576,0.03960083485375172,21
5.930467319488526,0.6801602586591428,0.8473382472991944,0.057469429336963036,0.00033872555658521483,"(64, 32)",0.0015304852121831463,1.0,True,"(1, 5)",True,"(1, 1)",SelectPercentile(percentile=1),0.5576781468907224,0.5800252584154442,0.5454885512181479,0.5566947112824554,0.548368759531583,0.5576510854676705,0.012129367775397226,2,0.5053841554751236,0.49756297034012886,0.4393182486041728,0.48678720445062584,0.4433264279372595,0.47447580136146217,0.027735361371688954,2
3.0035478591918947,0.1462118666641709,0.5819674491882324,0.046804091568768066,1.8205657658407255e-05,"(64, 32)",0.007663082680255852,0.5,False,"(2, 4)",True,"(1, 2)",SelectPercentile(percentile=1),0.6052434897719409,0.5326596543185135,0.535805517465972,0.5442827300480008,0.5566822141290227,0.55493472114669,0.026493757311249783,3,0.5539960254062268,0.4419889502762431,0.42741116751269037,0.48975957257346403,0.44750083864475,0.4721313108826749,0.04588616432626492,3
17.16785364151001,1.7867276661882026,0.8423405170440674,0.15760253738474417,8.386394780402559e-05,"(64, 32)",0.0007591104805282694,1.0,False,"(1, 3)",False,"(1, 3)","TruncatedSVD(n_components=100, random_state=42)",0.47467149800804576,0.4440656027428281,0.5456202577963017,0.5061673151538574,0.49591319521545185,0.4932875737832969,0.03370712729397501,18,0.36170880836706376,0.4046786879734766,0.490748189863234,0.41090034731498803,0.38926174496644295,0.41145955569704107,0.043129711453155146,16
47.103209495544434,1.478208418151714,1.0774971008300782,0.0393448933242724,0.0433792069749094,"(64, 32)",0.00023145798905204883,0.5,False,"(2, 4)",False,"(1, 2)","TruncatedSVD(n_components=300, random_state=42)",0.31226683309063175,0.2610998135909168,0.49461681055608947,0.4531582312662803,0.30349067015733683,0.364926471732251,0.09157706871540323,26,0.057465138999911236,0.04691471526688662,0.4231209462037391,0.3360341151385927,0.05263157894736836,0.1832332989112996,0.16269687662341972,26
18.06363959312439,0.20833822982791664,0.9222452163696289,0.10568338587416318,5.4880470007660426e-05,"(128,)",0.00483692718068222,0.5,False,"(2, 4)",False,"(1, 2)","TruncatedSVD(n_components=100, random_state=42)",0.42229941622038886,0.494580209556055,0.5236354312776194,0.5258357956698769,0.5388930949469066,0.5010487895341693,0.04195247271577093,15,0.30497360377882754,0.40697674418604646,0.4365781710914455,0.4160694077706526,0.4290922347794386,0.39873803232128213,0.04798598694841379,18
3.390238904953003,0.47388057276103174,0.4393792629241943,0.11594485575064971,0.04869640941520897,"(64, 32)",0.0013832094546570486,0.0,False,"(1, 3)",False,"(1, 1)",SelectPercentile(percentile=5),0.5828628239538789,0.5137072975283307,0.5191011087295917,0.5533250604556447,0.5128465703861842,0.536368572210726,0.02761963495013201,8,0.5170791472678264,0.4187512780314907,0.4293174188735547,0.47998607727114506,0.4233795428999625,0.45370269286879594,0.03858271032164225,6
